#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FGFR1	FGF2	4447790	4435443	9606.ENSP00000393312	9606.ENSP00000264498	0	0	0	0	0.098	0.819	0.900	0.937	0.998
FGFR2	FGF2	4448546	4435443	9606.ENSP00000410294	9606.ENSP00000264498	0	0	0	0	0	0.863	0.900	0.885	0.998
CDH5	KDR	4441389	4435337	9606.ENSP00000344115	9606.ENSP00000263923	0	0	0	0	0.231	0.472	0.900	0.939	0.997
CR1	C3	4442796	4433951	9606.ENSP00000356016	9606.ENSP00000245907	0	0	0	0	0.061	0.870	0.900	0.840	0.997
CXCR2	CXCL8	4439296	4438229	9606.ENSP00000319635	9606.ENSP00000306512	0	0	0	0	0.064	0.667	0.900	0.937	0.997
CD55	C3	4442798	4433951	9606.ENSP00000356030	9606.ENSP00000245907	0	0	0	0	0	0.800	0.900	0.876	0.997
CFI	C3	4446295	4433951	9606.ENSP00000378130	9606.ENSP00000245907	0	0	0	0	0.143	0.871	0.900	0.798	0.997
MMP9	TIMP1	4443919	4433052	9606.ENSP00000361405	9606.ENSP00000218388	0	0	0	0	0.063	0.457	0.900	0.957	0.997
ITGAX	ITGB2	4450468	4446737	9606.ENSP00000454623	9606.ENSP00000380948	0	0	0	0	0.410	0.905	0.900	0.579	0.997
NPY	NPY1R	4447109	4442512	9606.ENSP00000384364	9606.ENSP00000354652	0	0	0	0	0	0.667	0.900	0.935	0.997
VAV1	LCP2	4451047	4432628	9606.ENSP00000472929	9606.ENSP00000046794	0	0	0	0	0.392	0.578	0.900	0.918	0.997
TDO2	KYNU	4450131	4435389	9606.ENSP00000444788	9606.ENSP00000264170	0.295	0	0.274	0	0.109	0	0.900	0.935	0.996
ITK	LCP2	4448039	4432628	9606.ENSP00000398655	9606.ENSP00000046794	0	0	0	0	0.629	0.417	0.900	0.838	0.996
CASP1	IL1B	4449658	4435241	9606.ENSP00000433138	9606.ENSP00000263341	0	0	0	0	0.287	0.457	0.900	0.917	0.996
COL5A2	COL1A2	4444466	4437383	9606.ENSP00000364000	9606.ENSP00000297268	0	0	0.446	0.936	0.965	0.109	0.900	0.745	0.996
CXCL1	CXCR2	4446449	4439296	9606.ENSP00000379110	9606.ENSP00000319635	0	0	0	0	0	0.379	0.900	0.936	0.995
COL3A1	COL1A2	4438049	4437383	9606.ENSP00000304408	9606.ENSP00000297268	0	0	0.440	0.930	0.946	0.109	0.900	0.859	0.995
SOCS3	STAT3	4440175	4435468	9606.ENSP00000330341	9606.ENSP00000264657	0	0	0	0	0.103	0.106	0.900	0.954	0.995
HLA-DOB	HLA-DMA	4447641	4444460	9606.ENSP00000390020	9606.ENSP00000363976	0	0	0	0	0.171	0.856	0.900	0.670	0.995
C1R	SERPING1	4449877	4436285	9606.ENSP00000438615	9606.ENSP00000278407	0	0	0	0	0.703	0.435	0.900	0.780	0.995
BTK	SH3BP5	4451790	4445777	9606.ENSP00000483570	9606.ENSP00000373301	0	0	0	0	0.052	0.473	0.900	0.902	0.994
JAK3	STAT3	4447709	4435468	9606.ENSP00000391676	9606.ENSP00000264657	0	0	0	0	0.062	0.460	0.900	0.906	0.994
COL3A1	COL1A1	4438049	4433346	9606.ENSP00000304408	9606.ENSP00000225964	0	0	0.439	0.951	0.944	0	0.900	0.901	0.994
COL5A2	COL1A1	4444466	4433346	9606.ENSP00000364000	9606.ENSP00000225964	0	0	0.444	0.949	0.945	0	0.900	0.760	0.994
DUOX2	DUOXA2	4451121	4439302	9606.ENSP00000475084	9606.ENSP00000319705	0	0	0	0	0.416	0	0.800	0.953	0.994
HLA-DRA	HLA-DMA	4446403	4444460	9606.ENSP00000378786	9606.ENSP00000363976	0	0	0	0.713	0.479	0.870	0.900	0.715	0.994
C1S	SERPING1	4447198	4436285	9606.ENSP00000385035	9606.ENSP00000278407	0	0	0	0	0.451	0.435	0.900	0.844	0.994
VAV1	RAC2	4451047	4434085	9606.ENSP00000472929	9606.ENSP00000249071	0	0	0	0	0.353	0.730	0.900	0.701	0.994
MMP1	TIMP1	4439553	4433052	9606.ENSP00000322788	9606.ENSP00000218388	0	0	0	0	0.156	0.887	0	0.951	0.994
BIRC3	RIPK2	4435265	4433128	9606.ENSP00000263464	9606.ENSP00000220751	0	0	0	0	0.063	0.466	0.900	0.883	0.993
COL5A2	COL3A1	4444466	4438049	9606.ENSP00000364000	9606.ENSP00000304408	0	0	0.444	0.931	0.933	0	0.900	0.807	0.993
IFIT3	OAS2	4443820	4441243	9606.ENSP00000360883	9606.ENSP00000342278	0	0	0	0	0.818	0	0.900	0.688	0.993
FGFR3	FGF2	4440994	4435443	9606.ENSP00000339824	9606.ENSP00000264498	0	0	0	0	0	0.794	0.900	0.695	0.993
NOD2	RIPK2	4437679	4433128	9606.ENSP00000300589	9606.ENSP00000220751	0	0	0	0	0	0.384	0.900	0.893	0.992
CASP1	AIM2	4449658	4443042	9606.ENSP00000433138	9606.ENSP00000357112	0	0	0	0	0.093	0.294	0.900	0.891	0.992
CXCL8	IL1B	4438229	4435241	9606.ENSP00000306512	9606.ENSP00000263341	0	0	0	0	0.676	0	0	0.977	0.992
COL1A2	SPARC	4437383	4433520	9606.ENSP00000297268	9606.ENSP00000231061	0	0	0	0	0.973	0.406	0	0.557	0.992
SLC51B	SLC51A	4440658	4437264	9606.ENSP00000335292	9606.ENSP00000296327	0	0	0	0	0.062	0	0.800	0.956	0.991
CD40	BIRC3	4443911	4435265	9606.ENSP00000361359	9606.ENSP00000263464	0	0	0	0	0.107	0.811	0.900	0.531	0.991
CCL4	CXCL10	4451651	4438146	9606.ENSP00000482259	9606.ENSP00000305651	0	0	0	0	0.322	0	0.900	0.879	0.991
CCL4	CXCL8	4451651	4438229	9606.ENSP00000482259	9606.ENSP00000306512	0	0	0	0	0.211	0.379	0.900	0.838	0.991
CARD6	RIPK2	4434376	4433128	9606.ENSP00000254691	9606.ENSP00000220751	0	0	0	0	0	0.472	0.800	0.904	0.989
ITGB2	ICAM1	4446737	4435501	9606.ENSP00000380948	9606.ENSP00000264832	0	0	0	0	0.113	0.379	0.900	0.829	0.989
NCF2	RAC2	4442905	4434085	9606.ENSP00000356505	9606.ENSP00000249071	0	0	0	0	0.311	0.379	0.900	0.784	0.989
MMP3	TIMP1	4437610	4433052	9606.ENSP00000299855	9606.ENSP00000218388	0	0	0	0	0.109	0.887	0	0.904	0.989
CXCL1	CCL20	4446449	4442174	9606.ENSP00000379110	9606.ENSP00000351671	0	0	0	0	0.553	0	0.900	0.759	0.988
CXCL11	CXCL10	4438264	4438146	9606.ENSP00000306884	9606.ENSP00000305651	0	0	0	0.818	0.842	0.221	0.900	0.896	0.988
FPR1	ANXA1	4450996	4444796	9606.ENSP00000471493	9606.ENSP00000366109	0	0	0	0	0.060	0.379	0.900	0.819	0.988
CCL20	CXCL8	4442174	4438229	9606.ENSP00000351671	9606.ENSP00000306512	0	0	0	0	0.552	0	0.900	0.758	0.988
CXCL9	CXCL10	4442567	4438146	9606.ENSP00000354901	9606.ENSP00000305651	0	0	0	0.862	0.848	0.221	0.900	0.951	0.988
CXCL10	CCL11	4438146	4437839	9606.ENSP00000305651	9606.ENSP00000302234	0	0	0	0	0.117	0.214	0.900	0.853	0.988
COL1A2	COL6A3	4437383	4437161	9606.ENSP00000297268	9606.ENSP00000295550	0	0	0	0.563	0.839	0	0.900	0.677	0.988
CXCL1	CXCL6	4446449	4433365	9606.ENSP00000379110	9606.ENSP00000226317	0	0	0	0.893	0.647	0.667	0.900	0.778	0.988
PECAM1	CDH5	4450567	4441389	9606.ENSP00000457421	9606.ENSP00000344115	0	0	0	0	0.143	0	0.800	0.938	0.988
CEBPB	PPARG	4438125	4436745	9606.ENSP00000305422	9606.ENSP00000287820	0	0	0	0	0.062	0.310	0.900	0.836	0.988
MMP3	MMP10	4437610	4436347	9606.ENSP00000299855	9606.ENSP00000279441	0	0	0.448	0.980	0.311	0.825	0.900	0.805	0.987
FYN	CTLA4	4441647	4438004	9606.ENSP00000346671	9606.ENSP00000303939	0	0	0	0	0.051	0.559	0.900	0.743	0.987
LYN	LCP2	4449476	4432628	9606.ENSP00000428924	9606.ENSP00000046794	0	0	0	0	0.154	0.417	0.900	0.775	0.987
CXCL1	CXCL10	4446449	4438146	9606.ENSP00000379110	9606.ENSP00000305651	0	0	0	0	0.151	0	0.900	0.863	0.987
CYBB	RAC2	4445083	4434085	9606.ENSP00000367851	9606.ENSP00000249071	0	0	0	0	0.263	0.384	0.900	0.753	0.987
SOCS3	IRS1	4440175	4438085	9606.ENSP00000330341	9606.ENSP00000304895	0	0	0	0	0	0.379	0.900	0.815	0.987
CXCL2	CXCR2	4449392	4439296	9606.ENSP00000427279	9606.ENSP00000319635	0	0	0	0	0	0.379	0.900	0.815	0.987
CD44	MMP9	4448037	4443919	9606.ENSP00000398632	9606.ENSP00000361405	0	0	0	0	0	0.379	0.900	0.817	0.987
CXCL8	CXCL10	4438229	4438146	9606.ENSP00000306512	9606.ENSP00000305651	0	0	0	0	0.144	0	0.900	0.869	0.987
STAT3	PDGFRB	4435468	4434952	9606.ENSP00000264657	9606.ENSP00000261799	0	0	0	0	0	0.710	0.900	0.601	0.987
DYSF	ANXA1	4447438	4444796	9606.ENSP00000386881	9606.ENSP00000366109	0	0	0	0	0.063	0.472	0.900	0.755	0.986
SPARC	COL1A1	4433520	4433346	9606.ENSP00000231061	9606.ENSP00000225964	0	0	0	0	0.940	0.456	0	0.627	0.986
JAK3	STAT1	4447709	4442456	9606.ENSP00000391676	9606.ENSP00000354394	0	0	0	0	0.061	0.124	0.900	0.852	0.986
PHLPP2	AKT3	4450590	4435323	9606.ENSP00000457991	9606.ENSP00000263826	0	0.001	0	0	0.061	0.123	0.900	0.858	0.986
LYN	CD79A	4449476	4433192	9606.ENSP00000428924	9606.ENSP00000221972	0	0	0	0	0.098	0.412	0.900	0.769	0.986
VAV3	LCP2	4443450	4432628	9606.ENSP00000359073	9606.ENSP00000046794	0	0	0	0	0.095	0.520	0.900	0.719	0.986
SLC16A1	BSG	4449975	4440482	9606.ENSP00000441065	9606.ENSP00000333769	0	0	0	0	0.062	0.379	0.900	0.789	0.986
CCL20	CXCL11	4442174	4438264	9606.ENSP00000351671	9606.ENSP00000306884	0	0	0	0	0.088	0.594	0.900	0.674	0.986
STAT1	SOCS3	4442456	4440175	9606.ENSP00000354394	9606.ENSP00000330341	0	0	0	0	0.062	0.106	0.900	0.856	0.986
PTPRC	CD79A	4448605	4433192	9606.ENSP00000411355	9606.ENSP00000221972	0	0	0	0	0.277	0.379	0.900	0.730	0.986
CXCR2	CXCL3	4439296	4437221	9606.ENSP00000319635	9606.ENSP00000296026	0	0	0	0	0	0.313	0.900	0.821	0.986
CXCL1	CXCL8	4446449	4438229	9606.ENSP00000379110	9606.ENSP00000306512	0	0	0	0.878	0.842	0	0.900	0.918	0.985
IRAK3	IRAK2	4434840	4434487	9606.ENSP00000261233	9606.ENSP00000256458	0	0	0	0.635	0.059	0.814	0.900	0.685	0.985
BGN	VCAN	4439914	4435552	9606.ENSP00000327336	9606.ENSP00000265077	0	0	0	0	0.084	0.085	0.900	0.847	0.985
TDO2	IDO1	4450131	4449569	9606.ENSP00000444788	9606.ENSP00000430950	0	0	0	0	0	0	0.900	0.865	0.985
CD55	C2	4442798	4437564	9606.ENSP00000356030	9606.ENSP00000299367	0	0	0	0	0	0.692	0.900	0.559	0.985
FYN	LCP2	4441647	4432628	9606.ENSP00000346671	9606.ENSP00000046794	0	0	0	0	0.064	0.551	0.900	0.698	0.985
VAV3	RAC2	4443450	4434085	9606.ENSP00000359073	9606.ENSP00000249071	0	0	0	0	0.063	0.677	0.900	0.572	0.985
COL3A1	COL6A3	4438049	4437161	9606.ENSP00000304408	9606.ENSP00000295550	0	0	0	0.571	0.802	0	0.900	0.720	0.985
VAV1	LYN	4451047	4449476	9606.ENSP00000472929	9606.ENSP00000428924	0	0	0	0	0.133	0.177	0.900	0.815	0.985
CCL4	CXCL9	4451651	4442567	9606.ENSP00000482259	9606.ENSP00000354901	0	0	0	0	0.228	0	0.900	0.825	0.985
C2	C3	4437564	4433951	9606.ENSP00000299367	9606.ENSP00000245907	0	0	0	0	0.148	0.404	0.900	0.733	0.984
SOCS1	STAT3	4440100	4435468	9606.ENSP00000329418	9606.ENSP00000264657	0	0	0	0	0	0.106	0.900	0.844	0.984
BSG	MMP1	4440482	4439553	9606.ENSP00000333769	9606.ENSP00000322788	0	0	0	0	0	0.379	0.900	0.763	0.984
PTGS2	PTGES	4442894	4441253	9606.ENSP00000356438	9606.ENSP00000342385	0	0	0	0	0.063	0	0.900	0.848	0.984
PECAM1	KDR	4450567	4435337	9606.ENSP00000457421	9606.ENSP00000263923	0	0	0	0	0.062	0	0.800	0.926	0.984
CXCL9	CXCL13	4442567	4436695	9606.ENSP00000354901	9606.ENSP00000286758	0	0	0	0	0.482	0	0.900	0.704	0.983
PTPRC	FYN	4448605	4441647	9606.ENSP00000411355	9606.ENSP00000346671	0	0	0	0	0.063	0.456	0.900	0.706	0.983
CXCL1	MMP9	4446449	4443919	9606.ENSP00000379110	9606.ENSP00000361405	0	0	0	0	0.145	0.379	0.900	0.718	0.983
BTK	LCP2	4451790	4432628	9606.ENSP00000483570	9606.ENSP00000046794	0	0	0	0	0.594	0.100	0.900	0.601	0.983
PPARGC1A	TWIST1	4435507	4433815	9606.ENSP00000264867	9606.ENSP00000242261	0	0	0	0	0	0	0.900	0.837	0.983
CXCL2	CXCL8	4449392	4438229	9606.ENSP00000427279	9606.ENSP00000306512	0	0	0	0.874	0.824	0	0.900	0.767	0.983
STAT1	UBE2L6	4442456	4436712	9606.ENSP00000354394	9606.ENSP00000287156	0	0	0	0	0.732	0	0.900	0.432	0.983
CXCL9	PF4	4442567	4437224	9606.ENSP00000354901	9606.ENSP00000296029	0	0	0	0	0.061	0.230	0.900	0.800	0.983
CFB	CFI	4448835	4446295	9606.ENSP00000416561	9606.ENSP00000378130	0	0	0	0	0.132	0	0.900	0.830	0.983
CXCL8	STAT3	4438229	4435468	9606.ENSP00000306512	9606.ENSP00000264657	0	0	0	0	0	0	0.900	0.838	0.983
FBN1	VCAN	4439770	4435552	9606.ENSP00000325527	9606.ENSP00000265077	0	0	0	0	0.100	0.379	0.900	0.742	0.983
ITGAX	ICAM1	4450468	4435501	9606.ENSP00000454623	9606.ENSP00000264832	0	0	0	0	0.084	0.170	0.900	0.799	0.982
PITX2	LEF1	4438026	4435569	9606.ENSP00000304169	9606.ENSP00000265165	0	0	0	0	0	0.379	0.900	0.746	0.982
CXCR2	CXCL6	4439296	4433365	9606.ENSP00000319635	9606.ENSP00000226317	0	0	0	0	0.062	0.294	0.900	0.765	0.982
ACOX1	CPT1A	4437000	4435626	9606.ENSP00000293217	9606.ENSP00000265641	0	0	0	0	0.061	0	0.900	0.824	0.982
HMGCS2	ACAT1	4443311	4435651	9606.ENSP00000358414	9606.ENSP00000265838	0.093	0	0	0	0.190	0.370	0.900	0.677	0.982
COL6A3	COL1A1	4437161	4433346	9606.ENSP00000295550	9606.ENSP00000225964	0	0	0	0.574	0.770	0	0.900	0.677	0.982
ACKR1	CXCL8	4443040	4438229	9606.ENSP00000357103	9606.ENSP00000306512	0	0	0	0	0	0.379	0.900	0.720	0.981
MMP9	STAT3	4443919	4435468	9606.ENSP00000361405	9606.ENSP00000264657	0	0	0	0	0	0	0.900	0.824	0.981
STAT1	IFNAR2	4442456	4441382	9606.ENSP00000354394	9606.ENSP00000343957	0	0	0	0	0.062	0.407	0.900	0.707	0.981
CXCL9	CXCL11	4442567	4438264	9606.ENSP00000354901	9606.ENSP00000306884	0	0	0	0.846	0.749	0.221	0.900	0.900	0.981
LYN	HCLS1	4449476	4439338	9606.ENSP00000428924	9606.ENSP00000320176	0	0	0	0	0.205	0.470	0.900	0.621	0.981
STAT3	CCL2	4435468	4433339	9606.ENSP00000264657	9606.ENSP00000225831	0	0	0	0	0	0	0.900	0.824	0.981
BCL6	STAT3	4447113	4435468	9606.ENSP00000384371	9606.ENSP00000264657	0	0	0	0	0	0.064	0.900	0.816	0.981
STAT3	FGF2	4435468	4435443	9606.ENSP00000264657	9606.ENSP00000264498	0	0	0	0	0	0	0.900	0.808	0.980
CYR61	IGFBP7	4448043	4437173	9606.ENSP00000398736	9606.ENSP00000295666	0	0	0	0	0.108	0	0.900	0.800	0.980
FGR	FYN	4444303	4441647	9606.ENSP00000363117	9606.ENSP00000346671	0	0	0	0.973	0	0.809	0.900	0.803	0.980
CXCL2	CXCL1	4449392	4446449	9606.ENSP00000427279	9606.ENSP00000379110	0	0	0	0.979	0.809	0	0.900	0.934	0.980
IRS1	PIK3R3	4438085	4435132	9606.ENSP00000304895	9606.ENSP00000262741	0	0	0	0	0.060	0.660	0.900	0.448	0.980
BTK	PIK3AP1	4451790	4440995	9606.ENSP00000483570	9606.ENSP00000339826	0	0	0	0	0.298	0.379	0.900	0.607	0.980
PTGS2	STAT3	4442894	4435468	9606.ENSP00000356438	9606.ENSP00000264657	0	0	0	0	0	0	0.900	0.810	0.980
CXCL11	CXCL6	4438264	4433365	9606.ENSP00000306884	9606.ENSP00000226317	0	0	0	0	0.085	0	0.900	0.802	0.980
CXCL8	CCL2	4438229	4433339	9606.ENSP00000306512	9606.ENSP00000225831	0	0	0	0	0.278	0.667	0	0.925	0.980
CXCL11	PF4	4438264	4437224	9606.ENSP00000306884	9606.ENSP00000296029	0	0	0	0	0.062	0.203	0.900	0.758	0.979
CNGA1	PDE6A	4447097	4434424	9606.ENSP00000384264	9606.ENSP00000255266	0	0	0	0	0.062	0	0.900	0.795	0.979
BTK	VAV1	4451790	4451047	9606.ENSP00000483570	9606.ENSP00000472929	0	0	0	0.547	0.451	0.467	0.900	0.799	0.979
CXCL2	CCL20	4449392	4442174	9606.ENSP00000427279	9606.ENSP00000351671	0	0	0	0	0.248	0	0.900	0.749	0.979
CXCL2	CXCL10	4449392	4438146	9606.ENSP00000427279	9606.ENSP00000305651	0	0	0	0	0.139	0	0.900	0.784	0.979
CD2	CD5	4443326	4441273	9606.ENSP00000358490	9606.ENSP00000342681	0	0	0	0	0.516	0.379	0	0.934	0.978
THBS1	TIMP1	4434771	4433052	9606.ENSP00000260356	9606.ENSP00000218388	0	0	0	0	0.119	0	0.900	0.778	0.978
CCL4	CXCL1	4451651	4446449	9606.ENSP00000482259	9606.ENSP00000379110	0	0	0	0	0.165	0	0.900	0.759	0.978
HLA-DQB1	HLA-DMA	4444478	4444460	9606.ENSP00000364080	9606.ENSP00000363976	0	0	0	0	0.337	0.195	0.900	0.641	0.978
TRIM22	GBP1	4445296	4443543	9606.ENSP00000369299	9606.ENSP00000359504	0	0	0	0	0.711	0	0.900	0.330	0.978
CXCL2	CXCL11	4449392	4438264	9606.ENSP00000427279	9606.ENSP00000306884	0	0	0	0	0.107	0.232	0.900	0.717	0.978
FYN	STAT3	4441647	4435468	9606.ENSP00000346671	9606.ENSP00000264657	0	0	0	0	0	0.365	0.900	0.684	0.978
STAT1	PDGFRB	4442456	4434952	9606.ENSP00000354394	9606.ENSP00000261799	0	0	0	0	0	0.700	0.900	0.350	0.978
IFI16	TMEM173	4443043	4440244	9606.ENSP00000357113	9606.ENSP00000331288	0	0	0	0	0.112	0.379	0.900	0.656	0.978
JAK3	SOCS1	4447709	4440100	9606.ENSP00000391676	9606.ENSP00000329418	0	0	0	0	0.062	0.472	0.900	0.619	0.978
VWF	THBS1	4434871	4434771	9606.ENSP00000261405	9606.ENSP00000260356	0	0	0	0	0.063	0	0.900	0.785	0.978
BCL6	CD79A	4447113	4433192	9606.ENSP00000384371	9606.ENSP00000221972	0	0	0	0	0	0	0.900	0.790	0.978
CXCL10	PF4	4438146	4437224	9606.ENSP00000305651	9606.ENSP00000296029	0	0	0	0	0.055	0.195	0.900	0.752	0.978
CCL4	CXCL2	4451651	4449392	9606.ENSP00000482259	9606.ENSP00000427279	0	0	0	0	0.218	0	0.900	0.745	0.978
CXCL10	CXCL3	4438146	4437221	9606.ENSP00000305651	9606.ENSP00000296026	0	0	0	0	0.136	0	0.900	0.766	0.978
COL3A1	PCOLCE	4438049	4433264	9606.ENSP00000304408	9606.ENSP00000223061	0	0	0	0	0.492	0.379	0.900	0.401	0.978
ZEB1	STAT3	4442472	4435468	9606.ENSP00000354487	9606.ENSP00000264657	0	0	0	0	0.062	0	0.900	0.777	0.977
VAV1	ITK	4451047	4448039	9606.ENSP00000472929	9606.ENSP00000398655	0	0	0	0	0.117	0.299	0.900	0.674	0.977
STAT3	HGF	4435468	4433227	9606.ENSP00000264657	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.779	0.977
JAK3	SOCS3	4447709	4440175	9606.ENSP00000391676	9606.ENSP00000330341	0	0	0	0	0.062	0.454	0.900	0.605	0.977
BTK	DAPP1	4451790	4449257	9606.ENSP00000483570	9606.ENSP00000423602	0	0	0	0	0.256	0.384	0.900	0.559	0.977
CIITA	HLA-DRA	4451905	4446403	9606.ENSP00000485010	9606.ENSP00000378786	0	0	0	0	0.213	0	0.900	0.740	0.977
ITGB2	LILRB2	4446737	4445945	9606.ENSP00000380948	9606.ENSP00000375629	0	0	0	0	0.776	0	0.900	0.066	0.977
ICAM2	ITGB2	4448780	4446737	9606.ENSP00000415283	9606.ENSP00000380948	0	0	0	0	0.119	0.379	0.900	0.644	0.977
SOCS1	IRS1	4440100	4438085	9606.ENSP00000329418	9606.ENSP00000304895	0	0	0	0	0	0.379	0.900	0.669	0.977
CCL20	PF4	4442174	4437224	9606.ENSP00000351671	9606.ENSP00000296029	0	0	0	0	0.063	0.628	0.900	0.434	0.977
FYN	LRP8	4441647	4437982	9606.ENSP00000346671	9606.ENSP00000303634	0	0	0	0	0	0.050	0.900	0.777	0.977
SOD2	GPX7	4450194	4442517	9606.ENSP00000446252	9606.ENSP00000354677	0	0	0	0	0.061	0	0.900	0.781	0.977
CCL20	CXCL3	4442174	4437221	9606.ENSP00000351671	9606.ENSP00000296026	0	0	0	0	0.308	0	0.900	0.706	0.977
ITGB2	VCAM1	4446737	4437090	9606.ENSP00000380948	9606.ENSP00000294728	0	0	0	0	0.444	0	0.900	0.630	0.977
BTK	CD79A	4451790	4433192	9606.ENSP00000483570	9606.ENSP00000221972	0	0	0	0	0.338	0.057	0.900	0.664	0.976
COL1A2	PCOLCE	4437383	4433264	9606.ENSP00000297268	9606.ENSP00000223061	0	0	0	0	0.561	0	0.900	0.513	0.976
ITGB2	CD53	4446737	4435973	9606.ENSP00000380948	9606.ENSP00000271324	0	0	0	0	0.671	0	0.900	0.348	0.976
CXCL11	CXCL3	4438264	4437221	9606.ENSP00000306884	9606.ENSP00000296026	0	0	0	0	0.107	0	0.900	0.761	0.976
CD86	CD80	4440320	4435403	9606.ENSP00000332049	9606.ENSP00000264246	0	0	0	0.620	0.317	0.515	0.900	0.933	0.976
CCL20	CXCL10	4442174	4438146	9606.ENSP00000351671	9606.ENSP00000305651	0	0	0	0	0.143	0	0.900	0.733	0.975
ITGAX	CD80	4450468	4435403	9606.ENSP00000454623	9606.ENSP00000264246	0	0	0	0	0.100	0	0.720	0.911	0.975
TRIM22	OAS2	4445296	4441243	9606.ENSP00000369299	9606.ENSP00000342278	0	0	0	0	0.556	0	0.900	0.490	0.975
ICAM1	STAT3	4435501	4435468	9606.ENSP00000264832	9606.ENSP00000264657	0	0	0	0	0.084	0	0.900	0.749	0.975
DYSF	ANXA6	4447438	4441634	9606.ENSP00000386881	9606.ENSP00000346550	0	0	0	0	0.064	0.070	0.900	0.751	0.975
STAT1	FYN	4442456	4441647	9606.ENSP00000354394	9606.ENSP00000346671	0	0	0	0	0	0.432	0.900	0.601	0.975
ICAM2	ITGAL	4448780	4441903	9606.ENSP00000415283	9606.ENSP00000349252	0	0	0	0	0.116	0.170	0.900	0.709	0.975
CEBPB	STAT3	4438125	4435468	9606.ENSP00000305422	9606.ENSP00000264657	0	0	0	0	0.095	0.410	0.900	0.581	0.974
PTGS2	IL1B	4442894	4435241	9606.ENSP00000356438	9606.ENSP00000263341	0	0	0	0	0.561	0	0	0.943	0.974
STAT3	TWIST1	4435468	4433815	9606.ENSP00000264657	9606.ENSP00000242261	0	0	0	0	0	0.184	0.900	0.714	0.974
CXCL9	CXCL8	4442567	4438229	9606.ENSP00000354901	9606.ENSP00000306512	0	0	0	0	0.065	0	0.900	0.744	0.974
CXCL1	STAT3	4446449	4435468	9606.ENSP00000379110	9606.ENSP00000264657	0	0	0	0	0.063	0	0.900	0.743	0.973
GBP1	OAS2	4443543	4441243	9606.ENSP00000359504	9606.ENSP00000342278	0	0	0	0	0.397	0	0.900	0.588	0.973
THBS1	HGF	4434771	4433227	9606.ENSP00000260356	9606.ENSP00000222390	0	0	0	0	0.061	0	0.900	0.744	0.973
MMP9	MMP10	4443919	4436347	9606.ENSP00000361405	9606.ENSP00000279441	0	0	0	0.786	0.530	0.379	0.900	0.830	0.973
MMP9	THBS1	4443919	4434771	9606.ENSP00000361405	9606.ENSP00000260356	0	0	0	0	0.062	0.379	0.800	0.801	0.973
